pick,team,plyr,pos,author,site
16,ATL,K'Lavon Chaisson,Edge,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
17,DAL,Xavier McKinney,S,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
18,MIA,Henry Ruggs III,WR,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
19,OAK,Patrick Queen,LB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
20,JAC,C.J. Henderson,CB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
21,PHI,Justin Jefferson,WR,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
22,MIN,Austin Jackson,OT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
23,NE,Jeremy Chinn,S,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
24,NO,Denzel Mims,WR,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
25,MIN,A.J. Terrell,CB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
26,MIA,D'Andre Swift,RB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
27,SEA,A.J. Epenesa,Edge,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
28,BAL,Yetur Gross-Matos,Edge,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
29,TEN,Marlon Davidson,Edge,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
30,GB,Zack Baun,LB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
31,SF,Kristian Fulton,CB,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
32,KC,Ross Blacklock,DT,peter-schrager-nfl-mock-draft-10-dolphins-take-qb-wr-,nfl.com
1,CIN,Justin Herbert,QB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
2,LAC,Tua Tagovailoa,QB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
3,NYG,Chase Young,Edge,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
4,DET,Derrick Brown,DT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
5,MIA,Joe Burrow,QB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
6,WAS,Isaiah Simmons,LB/S,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
7,JAC,Jeff Okudah,CB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
8,ARI,Jedrick Wills,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
9,CAR,Javon Kinlaw,DT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
10,CLE,Tristan Wirfs,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
11,NYJ,Mekhi Becton,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
12,OAK,Jerry Jeudy,WR,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
13,SF,Henry Ruggs III,WR,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
14,TB,Andrew Thomas,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
15,DEN,CeeDee Lamb,WR,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
16,ATL,C.J. Henderson,CB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
17,DAL,K'Lavon Chaisson,Edge,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
18,MIA,Austin Jackson,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
19,OAK,Patrick Queen,LB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
20,JAC,Raekwon Davis,DT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
21,PHI,Kenneth Murray,LB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
22,MIN,Kristian Fulton,CB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
23,NE,Jalen Hurts,QB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
24,NO,Trevon Diggs,CB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
25,MIN,Yetur Gross-Matos,Edge,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
26,MIA,D'Andre Swift,RB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
27,SEA,Joshua Jones,OT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
28,BAL,Terrell Lewis,Edge,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
29,TEN,Jonathan Taylor,RB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
30,GB,Justin Jefferson,WR,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
31,SF,Ross Blacklock,DT,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
32,KC,Clyde Edwards-Helaire,RB,maurice-jonesdrew-nfl-mock-draft-20-justin-herbert-at-no,nfl.com
1,CIN,Joe Burrow,QB,fourround,nfl.com
2,WAS,Tua Tagovailoa,QB,fourround,nfl.com
3,DET,Chase Young,Edge,fourround,nfl.com
4,MIA,Justin Herbert,QB,fourround,nfl.com
5,NYG,Tristan Wirfs,OT,fourround,nfl.com
6,LAC,Mekhi Becton,OT,fourround,nfl.com
7,CAR,Jeff Okudah,CB,fourround,nfl.com
8,DEN,Henry Ruggs III,WR,fourround,nfl.com
9,JAC,Javon Kinlaw,DT,fourround,nfl.com
10,CLE,Andrew Thomas,OT,fourround,nfl.com
11,ATL,Isaiah Simmons,S/LB,fourround,nfl.com
12,OAK,CeeDee Lamb,WR,fourround,nfl.com
13,SF,Jerry Jeudy,WR,fourround,nfl.com
