pick,team,plyr,pos,author,site
12,LV,CeeDee Lamb,WR,R.J. White,cbs.com
13,BAL,Jerry Jeudy,WR,R.J. White,cbs.com
14,TB,Mekhi Becton,OL,R.J. White,cbs.com
15,DEN,Kenneth Murray,LB,R.J. White,cbs.com
16,MIN,Javon Kinlaw,DL,R.J. White,cbs.com
17,DAL,K'Lavon Chaisson,EDGE,R.J. White,cbs.com
18,MIA,Josh Jones,OL,R.J. White,cbs.com
19,LV,CJ Henderson,CB,R.J. White,cbs.com
20,DET,Kristian Fulton,CB,R.J. White,cbs.com
21,PHI,Patrick Queen,LB,R.J. White,cbs.com
22,ATL,Trevon Diggs,CB,R.J. White,cbs.com
23,NE,Henry Ruggs III,WR,R.J. White,cbs.com
24,NO,Jeff Gladney,CB,R.J. White,cbs.com
25,MIN,Jaylon Johnson,CB,R.J. White,cbs.com
26,MIA,Zack Baun,LB,R.J. White,cbs.com
27,IND,Justin Jefferson,WR,R.J. White,cbs.com
28,SF,Tee Higgins,WR,R.J. White,cbs.com
29,TEN,A.J. Epenesa,EDGE,R.J. White,cbs.com
30,GB,Laviska Shenault Jr.,WR,R.J. White,cbs.com
31,TB,Xavier McKinney,S,R.J. White,cbs.com
32,KC,Noah Igbinoghene,CB,R.J. White,cbs.com
1,CIN,Joe Burrow,QB,Tom Fornelli,cbs.com
2,WAS,Tua Tagovailoa,QB,Tom Fornelli,cbs.com
3,LAC,Justin Herbert,QB,Tom Fornelli,cbs.com
4,NYG,Chase Young,EDGE,Tom Fornelli,cbs.com
5,MIA,Jedrick Wills Jr.,OL,Tom Fornelli,cbs.com
6,DET,Jeff Okudah,CB,Tom Fornelli,cbs.com
7,CAR,Isaiah Simmons,LB,Tom Fornelli,cbs.com
8,ARI,Tristan Wirfs,OL,Tom Fornelli,cbs.com
9,JAC,Derrick Brown,DL,Tom Fornelli,cbs.com
10,CLE,Mekhi Becton,OL,Tom Fornelli,cbs.com
11,NYJ,CeeDee Lamb,WR,Tom Fornelli,cbs.com
12,LV,Jerry Jeudy,WR,Tom Fornelli,cbs.com
13,SF,Henry Ruggs III,WR,Tom Fornelli,cbs.com
14,TB,Andrew Thomas,OL,Tom Fornelli,cbs.com
15,DEN,CJ Henderson,CB,Tom Fornelli,cbs.com
16,ATL,K'Lavon Chaisson,EDGE,Tom Fornelli,cbs.com
17,DAL,Kristian Fulton,CB,Tom Fornelli,cbs.com
18,MIA,Grant Delpit,S,Tom Fornelli,cbs.com
19,LV,Xavier McKinney,S,Tom Fornelli,cbs.com
20,JAC,Justin Jefferson,WR,Tom Fornelli,cbs.com
21,PHI,Kenneth Murray,LB,Tom Fornelli,cbs.com
22,MIN,Jaylon Johnson,CB,Tom Fornelli,cbs.com
23,NE,A.J. Epenesa,EDGE,Tom Fornelli,cbs.com
24,NO,Patrick Queen,LB,Tom Fornelli,cbs.com
25,MIN,Denzel Mims,WR,Tom Fornelli,cbs.com
26,MIA,Jordan Love,QB,Tom Fornelli,cbs.com
27,SEA,Yetur Gross-Matos,EDGE,Tom Fornelli,cbs.com
28,BAL,Laviska Shenault Jr.,WR,Tom Fornelli,cbs.com
29,TEN,Zack Baun,LB,Tom Fornelli,cbs.com
30,GB,Jalen Reagor,WR,Tom Fornelli,cbs.com
31,SF,Neville Gallimore,DL,Tom Fornelli,cbs.com
32,KC,D'Andre Swift,RB,Tom Fornelli,cbs.com
